Book,Chapter,Chapter Title,Scene,Scene Title,Start Date,Day,Duration,What happens,Characters,Milestone,Note,POV,Central theme,Motifs,Mood,Weather,Setting,Keywords,Tension,Purpose,Chapter theme,Arc theme,Book theme
Book 1,3,Establishing himself,Scene 1,Small comforts,"Monday, August 15, 2016",Monday–Friday,week 3,"Now ""almost three weeks"" in, Jay discovers the Willow & Sage bistro and a quiet pocket park near the office. Friday brings Ela's news that Max's return is delayed again by a tropical illness.","Jay, Ela, Max",,,,,,,,,,,,,,
Book 1,3,Establishing himself,Scene 2,Offering input,"Monday, August 22, 2016",Monday–Thursday,week 4,"Starting his fourth week, Jay is pulled into a Thursday strategy session on the Wentworth account and correctly reframes the client's emails as wanting reassurance, not a strategy change. Ian and Amy both acknowledge the insight.","Ian, Jay, Amy","Jay's first substantive contribution (Wentworth) — Thursday, August 25",,,,,,,,,,,,,
Book 1,3,Establishing himself,Scene 3,Going out,"Friday, August 26, 2016",Friday,1 day,"Jay finally joins Friday drinks, nursing one beer and leaving by nine-thirty, but surviving the social test. Walking to the metro, Luc hints obliquely that he too was one of Leo's unusual hires.","Jay, Leo, Luc",Jay's first after-work outing with colleagues,,,,,,,,,,,,,
Book 1,3,Establishing himself,Scene 4,Office culture,"Monday, August 29, 2016",Monday–Thursday,week 5,"Comfortable in the office's routines, Jay watches Ian quietly praise good work across the team on Thursday, cementing his admiration. Luc explains Leo's real status as company royalty.","Ian, Jay, Leo, Luc",,,,,,,,,,,,,,
Book 1,3,Establishing himself,Scene 5,Compensation,"Friday, September 2, 2016 (est.)",Friday,1 day,"Jay's first month-end pay lands with an unexpected standard monthly bonus — nearly triple his old paycheck — and Luc confirms it's routine. Jay celebrates quietly with coffee and a croissant, then banks most of it, mindful that two months of probation remain.","Jay, Luc",First month complete; first salary + bonus,,,,,,,,,,,,,
Book 1,4,The ripples,Scene 1,Evaluation,"Tuesday, September 6, 2016 (est.)",early September,~1 day (Ian POV),"A month in, Ian privately admits his attraction to and respect for Jay — the exact combination that once destroyed him — even as Leo delivers a spotless background check. Ian notes that Jay's probation ends ""at the beginning of November"" and recommits to vigilance.","Ian, Jay, Leo",,,,,,,,,,,,,,
Book 1,4,The ripples,Scene 2,Misstep,"Monday, September 12, 2016 (est.)",mid-September,~several days,"Emboldened by a good discussion, Jay asks about the old Falconridge acquisition and Ian shuts him down coldly. Jay, mortified, retreats into deliberate invisibility while Ian's manner toward him turns glacial.","Ian, Jay",,,,,,,,,,,,,,
Book 1,4,The ripples,Scene 3,Accepting his fate,"Wednesday, September 14, 2016 (est.)",mid-September,~3 days,Kim notes Jay's new silence; on Thursday Jay stays until 9:30 to find the decimal error in Amy's Broadmarsh reconciliation. The team's gratitude only deepens his conviction that he belongs in the background.,"Jay, Amy, Kim",,Overlaps Scene 2's aftermath.,,,,,,,,,,,,
Book 1,4,The ripples,Scene 4,Painful returns,"Monday, September 26, 2016",Monday,1 day,"Max Goodwin returns from his extended trip and, loudly oblivious, greets Jay as ""Leo's new joke hire."" That night Jay searches Ian's name, finds the old corporate-espionage scandal and the gossip about Ian's ""type,"" and feels his safe harbor turn false.","Ian, Jay, Leo, Max","Max returns; ""joke hire"" revelation",,,,,,,,,,,,,
Book 1,4,The ripples,Scene 5,Resignation,"Tuesday, September 27, 2016",Tuesday–Wednesday,2 days,"Numb and withdrawn, Jay moves through his duties as pure performance while the quarterly reports ramp up with September ending. Checking his bank balance after two paychecks, he frames his security as a transaction — dignity traded for safety.",Jay,Q3 quarterly reporting begins,,,,,,,,,,,,,
Book 1,5,Finding his place,Scene 1,Glamour,"Friday, October 7, 2016",Friday,1 day,"As the first week of October closes, Jay attends his first lavish quarterly party in a costly midnight-blue suit, feeling like an impostor while Ian gives him only fifteen seconds of cold courtesy. Leo teases Ian for watching Jay all night and fumbling the chance to help him.","Ian, Jay, Leo",First quarterly party,,,,,,,,,,,,,
Book 1,5,Finding his place,Scene 2,Pity,"Thursday, October 13, 2016",Thursday,"~1 week (to Thu, Oct 20)","To signal that Jay is valued, Ian assigns him the sensitive Stormfront Group confidentiality audit, normally his own task. Jay delivers exceptional work the following Thursday, disarming — but not erasing — Ian's suspicion.","Ian, Jay","Stormfront compliance audit delivered (Thursday, October 20)",,,,,,,,,,,,,
Book 1,5,Finding his place,Scene 3,Distrust,"Friday, October 14, 2016 (est.)",Friday,~2-week push,"After nearly two weeks of war-room effort, Ian personally lands the prestigious Hartwell account, confirmed on a Friday afternoon. At the debrief Max jokes that Jay's ""pretty face"" helped close it, souring the team's genuine praise of his coordination work.","Ian, Jay, Max",Hartwell acquisition signed,Runs concurrently with Scene 2 — see flags.,,,,,,,,,,,,
Book 1,5,Finding his place,Scene 4,Apology,"Tuesday, October 25, 2016 (est.)",Friday (Oct 21) → Tuesday (Oct 25),~5 days,"Jay keeps declining the now-ceremonial Friday drinks; the following Tuesday Max privately apologizes for the ""joke hire"" remark. With his probation a week off, Jay half-hopes the company won't renew him, so he can leave with his dignity.","Jay, Max",,,,,,,,,,,,,,
Book 1,5,Finding his place,Scene 5,The contract,"Monday, October 31, 2016",Monday,1 day,"At the 2 p.m. three-month review, Ian praises Jay's work, offers permanent employment (10% raise, three-year contract, benefits), and comes as close as he can to apologizing for his coldness. Jay accepts flatly — secure at last, but hollowed out, with success feeling indistinguishable from survival.","Ian, Jay",Probation ends; permanent contract offered — end of Arc 1,,,,,,,,,,,,,
Book 1,6,Regaining ground,Scene 1,Celebration,"Friday, November 4, 2016",Friday,1 day,"The team gathers at Murphy's to celebrate Jay's permanent status, and Ian makes a rare appearance to mark it. Pulling Leo aside, Ian coldly orders him to repair the damage his ""joke hire"" scheme did to Jay's confidence.","Ian, Jay, Leo",Celebration of Jay's permanent contract; Ian's rare social appearance,,,,,,,,,,,,,
Book 1,6,Regaining ground,Scene 2,Explanation,"Friday, November 4, 2016 (night)",Friday,same night,"Leo insists on driving Jay home near midnight and comes up to explain himself: appearance was a factor in the hire, but Jay has earned his place entirely on merit. Jay is left with answers but lingering unease.","Jay, Leo",,,,,,,,,,,,,,
Book 1,6,Regaining ground,Scene 3,Resolve,"Saturday, November 5, 2016 (est.)",Saturday,1 day (Ian POV),"Alone with whiskey and a private investigator's report, Ian admits he has been watching Jay out of concern, not suspicion, and that Leo was right about his innocence. He resolves to become the fair mentor Jay needs — while forbidding himself anything more.","Ian, Jay, Leo",,,,,,,,,,,,,,
Book 1,6,Regaining ground,Scene 4,Hope,"Monday, November 7, 2016",Monday–Tuesday,2 days,"The office feels reset; Ian praises Jay's work and, on Tuesday, brings him into a Mayfield client meeting to observe and take notes. Jay begins to believe the office is simply what it appears to be — civil people doing good work.","Ian, Jay",,,,,,,,,,,,,,
Book 1,6,Regaining ground,Scene 5,Trust,"Thursday, November 10, 2016",Thursday,1 day,"A Fairfield Industries crisis — their board meeting moved up — keeps Jay and Ian working alone past eleven; Ian patiently helps Jay untangle a backdated-acquisition discrepancy. Jay realizes that here, at least, he can stop flinching.","Ian, Jay",Fairfield Industries late-night crisis,,,,,,,,,,,,,
Book 1,7,A sense of security,Scene 1,Optimism,"Friday, November 11, 2016",Friday–Sunday,3 days,"The Fairfield presentation succeeds without a single revision and Ian gives the team the afternoon off; Jay spends it reading at Café Lemon. On Saturday he finally calls his mother, sharing his stable new life.","Ian, Jay",,,,,,,,,,,,,,
Book 1,7,A sense of security,Scene 2,Invitation,"Monday, November 14, 2016",Monday,1 day,"Ian emails a formal invitation to a Friday celebration dinner at The Palladium for the Hartwell success, with Turner Senior and Leo attending. Over lunch the team trades stories that show Jay a drier, more human side of Ian.","Ian, Jay, Leo, Turner Senior",,,,,,,,,,,,,,
Book 1,7,A sense of security,Scene 3,Dinner,"Tuesday, November 15, 2016",Tuesday–Friday,4 days,"The Hartwell workload ramps up with a Tuesday briefing while talk turns to Friday's dinner. The Palladium evening goes far better than Jay feared, with Ian skillfully deflecting Turner Senior's probing and shielding Jay from the spotlight.","Ian, Jay, Turner Senior","Hartwell celebration dinner at The Palladium (Friday, November 18)",,,,,,,,,,,,,
Book 1,7,A sense of security,Scene 4,Planning,"Monday, November 21, 2016",Monday,1 day,A calmer Monday briefing lets Jay reframe Ian's old coldness as ordinary management rather than rejection. Kim circulates the holiday-event dates — the staff Christmas party and the black-tie end-of-year gala — and Jay weighs whether to visit family for Christmas.,"Ian, Jay, Kim",,The exact party/gala dates Kim cites conflict with later chapters — see flags.,,,,,,,,,,,,
Book 1,7,A sense of security,Scene 5,Exhaustion,"Monday, November 21, 2016",late November,~2 weeks,"Ian buries himself in the Hartwell integration — sixteen-hour days, weekend work — specifically to smother his growing feelings for Jay. Jay quietly streamlines Ian's workload, and Ian's attempt at distraction only deepens his appreciation of him.","Ian, Jay",,,,,,,,,,,,,,
Book 1,8,The festive season,Scene 1,Decorations,"Monday, December 5, 2016 (est.)",second week of December,~1 day,"With the Hartwell crunch eased, the team decorates the office tree; paired with Ian on the garland, Jay rediscovers how much he enjoys Christmas. He decides to buy a small tree and decorations for his own apartment for the first time.","Ian, Jay",,,,,,,,,,,,,,
Book 1,8,The festive season,Scene 2,Christmas preparations,"Friday, December 9, 2016 (est.)",Friday,1 day,"After work Jay orders a custom tuxedo for the gala, then buys and decorates a tiny tree at home and calls his mother to say he's staying in the city for Christmas. The next morning he shops for and ships gifts to his family.",Jay,,"Jay tells the tailor the event is ""January twenty fourth"" — conflicts with other gala dates; see flags.",,,,,,,,,,,,
Book 1,8,The festive season,Scene 3,Christmas party,"Friday, December 16, 2016",Friday,1 day,"At the company Christmas party Jay feels fully part of the team; the couples' spa voucher stings, and Leo's pointed remark about Ian's lonely, family-less holidays leaves Jay quietly worried for him.","Ian, Jay, Leo",Company Christmas party,"Ch7 gives this date as ""December fifteenth"" (a Thursday); the timeline follows the chapter's ""Friday evening"" — see flags.",,,,,,,,,,,,
Book 1,8,The festive season,Scene 4,Holidays,"Monday, December 19, 2016",Monday–Sunday,~1 week,"The pre-holiday rush peaks; on the last day before the break a charged, lingering handshake passes between Jay and Ian. Jay spends Christmas content and alone with wine and his little tree, while Ian works through it alone in his spotless penthouse.","Ian, Jay","Christmas (Sunday, December 25)",,,,,,,,,,,,,
Book 1,8,The festive season,Scene 5,Dream,"Sunday, December 25, 2016 (night)",Sunday–Monday,overnight (Ian POV),"Ian wakes at 3 a.m. from a vivid dream of kissing Jay in his office and, rattled, summons Leo to freezing dawn tennis. He brutalizes him for three hours while Leo correctly names the fear underneath: Ian wants Jay and is terrified of it.","Ian, Jay, Leo",,,,,,,,,,,,,,
Book 1,9,New Year,Scene 1,After the holidays,"Tuesday, December 27, 2016",Tuesday,1 day,"The office reopens to a skeleton crew between the holidays, and with Ela out sick it's just Jay, Luc, and Ian. Working late alone with Ian, Jay realizes how completely and unusually he trusts him.","Ian, Jay, Ela, Luc",,,,,,,,,,,,,,
Book 1,9,New Year,Scene 2,Before New Year,"Wednesday, December 28, 2016",Wednesday–Saturday,4 days,"Through the quiet week Jay shoulders more of Ian's work; on the year's last afternoon Ian shares his best whiskey with Jay and Luc, showing rare, easy warmth. Jay forgives Leo by text and spends New Year's Eve content and alone.","Ian, Jay, Leo, Luc","Ian's New Year whiskey toast (Friday, December 30)",,,,,,,,,,,,,
Book 1,9,New Year,Scene 3,Bonus,"Tuesday, January 3, 2017",Tuesday,1 day,"January reporting roars back to full throttle; at noon Jay's year-end bonus lands — $80,000, more money than he has ever held at once. Stunned, he treats himself to three tailored suits.",Jay,"$80,000 year-end bonus",,,,,,,,,,,,,
Book 1,9,New Year,Scene 4,Friday evening reflections,"Friday, January 13, 2017 (est.)",Friday,~1 week,"Quarterly and annual reports grind on as gala buzz fills the office and Ela and Kim return. A restless Jay declines Luc's drinks, packs away his Christmas tree, and — curious about what Ian enjoys — finds his old solitude newly empty.","Ian, Jay, Ela, Luc, Kim",,,,,,,,,,,,,,
Book 1,9,New Year,Scene 5,Preparations,"Monday, January 16, 2017 (est.)",the week before the gala,~1 week,"Jay collects his tuxedo and new suits, books a pricey last-minute haircut, and culls his old wardrobe — including the cheap interview suit he first arrived in — to ready himself for the gala.",Jay,,,,,,,,,,,,,,
Book 1,10,The high finance,Scene 1,The Grand Gala,"Saturday, January 21, 2017 (est.)",Saturday,1 day,"Jay arrives at the Grand Hotel gala looking striking, and Ian — visibly affected and needled by Leo about the suitors circling — abandons his usual networking to hover protectively near his team.","Ian, Jay, Leo",Annual black-tie gala,"Stated dates conflict (Ch7 ""Jan 23,"" Ch8 ""Jan 24"") and the aftermath plays it as a Saturday; dated here Sat Jan 21 — see flags.",,,,,,,,,,,,
Book 1,10,The high finance,Scene 2,The incident,"Saturday, January 21, 2017 (night)",Saturday,same night,"Separated from Ian and plied with drinks, Jay is cornered by a predatory client, Cruver, who gropes him and makes suggestive offers while the surrounding group stays oblivious. Shaken and ashamed, Jay flees to the restroom in tears.","Ian, Jay",Cruver harassment incident,,,,,,,,,,,,,
Book 1,10,The high finance,Scene 3,Soothing the fears,"Saturday, January 21, 2017 (night)",Saturday,same night,"Ian finds Jay, slips them both out a back exit, and defuses the trauma with self-deprecating stories in the car. Over tea in Jay's modest apartment their connection deepens, though both stay carefully in denial.","Ian, Jay",,,,,,,,,,,,,,
Book 1,10,The high finance,Scene 4,Aftermath,"Monday, January 23, 2017",Monday,1 day,"Back at work the gala is harmless office gossip, and the team's own mortifying-party stories normalize Jay's night; Cruver's name surfaces as a known creep. Behind his door, Ian quietly begins building a case to make Cruver pay.","Ian, Jay",,,,,,,,,,,,,,
Book 1,10,The high finance,Scene 5,Choice,"Wednesday, February 1, 2017 (est.)",Wednesday → following Monday,~1 week,"At his six-month review Ian offers Jay a promotion to analyst; torn between ambition and his wish to stay close to Ian, Jay takes the week to think and, on Monday, declines — choosing to remain Ian's assistant.","Ian, Jay",Six-month review; Jay declines the analyst promotion,,,,,,,,,,,,,
Book 1,11,February rush,Scene 1,Snow and scent,"Wednesday, February 1, 2017 (est.)",early February,1 day,"February opens with a heavy snowstorm that snarls Jay's commute; sharing the elevator with Ian, he becomes acutely, newly aware of his cologne. He brushes the reaction aside as the winter workload peaks.","Ian, Jay",,,,,,,,,,,,,,
Book 1,11,February rush,Scene 2,New coat,"Friday, February 3, 2017 (est.)",Friday–Sunday,3 days,"Bitter cold defeats Jay's old coat, so on Saturday he buys a quality wool overcoat and scarf despite his frugal instincts. The gray weekend passes in solitary work.",Jay,,,,,,,,,,,,,,
Book 1,11,February rush,Scene 3,Company card,"Thursday, February 9, 2017 (est.)",second week of February,1 day,"Deep in ""strategy season,"" Ian hands Jay a company credit card to use at his discretion, and Jay orders an elevated team dinner that lifts everyone's morale. Ian joins the team in the kitchen, deviating from his strict meal plan.","Ian, Jay",Jay receives the company credit card,,,,,,,,,,,,,
Book 1,11,February rush,Scene 4,Planning,mid-February 2017 (est.),mid-February,~1 week,"A stream of HR emails — the May retreat, the April quarterly party, vacation requests — keeps surfacing the retreat Jay isn't ready to contemplate. He decides to match his own time off to Ian's, once Ian submits any.","Ian, Jay",,,,,,,,,,,,,,
Book 1,11,February rush,Scene 5,Evening work,"Friday, February 17, 2017 (est.)",Friday (evening),same evening,Working late alone together has become routine; Jay anticipates Ian's needs while Ian lingers to postpone his empty penthouse. Leo drops by and needles Ian about how much more relaxed Jay has made him.,"Ian, Jay, Leo",,,,,,,,,,,,,,
Book 1,12,Stormy weather,Scene 1,Stormy morning,"Tuesday, February 21, 2017 (est.)",Tuesday,1 day,"A violent ice storm and power outage leave Jay drenched and forty-five minutes late for the first time in nearly seven months; in desperation he buys a full designer outfit from Hathaway's Menswear. He changes in the executive bathroom, unaware of how the new clothes affect Ian.","Ian, Jay",,,,,,,,,,,,,,
Book 1,12,Stormy weather,Scene 2,Discomfort,"Tuesday, February 21, 2017",Tuesday,same day,"Colleagues react to Jay's transformed look with compliments that make him deeply self-conscious, while Ian finds concentration impossible. Both go home unsettled.","Ian, Jay",,,,,,,,,,,,,,
Book 1,12,Stormy weather,Scene 3,Fever,"Wednesday, February 22, 2017",Wednesday → following Sunday,~1.5 weeks,"A scratchy throat on Wednesday becomes a serious flu; from Thursday Jay is bedridden and alone, diagnosed by telehealth and ordered off work for at least a week. The fever breaks Sunday, but his work phone dies and cuts him off.",Jay,"Jay's flu — first extended sick leave (from Thursday, February 23)",,,,,,,,,,,,,
Book 1,12,Stormy weather,Scene 4,Worry,"Monday, February 27, 2017",Monday–Friday,~1 week,"With Jay unreachable, Ian grows frantic — calling repeatedly, imagining the worst, realizing how necessary Jay has become. On Friday Jay revives his phone and texts that he'll return Monday, flooding Ian with relief.","Ian, Jay",,,,,,,,,,,,,,
Book 1,12,Stormy weather,Scene 5,Recovery,"Monday, March 6, 2017",Monday,1 day (+ recovery week),"Jay returns pale and thin; Ian presents a lavish ""standard procedure"" care package and insists he keep strict regular hours until fully recovered. The gesture warms Jay, but the illness has left him subdued and freshly aware of his isolation.","Ian, Jay",Jay returns from sick leave; Ian's care package,,,,,,,,,,,,,
Book 1,13,Ides of March,Scene 1,Lunch discord,"Monday, March 13, 2017 (est.)",Monday–Wednesday,~1 week,"Back at full strength in his second week, Jay rejoins the team lunches to find everyone's nerves frayed by winter and workload, bickering over where to eat. Ian's unchanging routine is the one steady thing.","Ian, Jay",,"Jay's first week back (Mar 6–10) he ate at his desk, avoiding the cold.",,,,,,,,,,,,
Book 1,13,Ides of March,Scene 2,Failure,"Thursday, March 16, 2017",Thursday,1 day,"A lawyer's call reveals Jay misfiled a legal notice and missed the Lagerstrom Holdings compliance deadline — due the day before, the Ides. Ian corrects him gently, but Jay spirals into shame and self-doubt.","Ian, Jay",Jay's missed compliance deadline (Lagerstrom),,,,,,,,,,,,,
Book 1,13,Ides of March,Scene 3,Hot chocolate with rum,"Friday, March 17, 2017",Friday,1 day,"Seeing Jay crumbling, Luc walks him to a cozy café for spiked hot chocolate and shares his own disastrous rookie mistake. The reassurance loosens the knot of anxiety in Jay's chest.","Jay, Luc",,,,,,,,,,,,,,
Book 1,13,Ides of March,Scene 4,Justice,"Friday, March 24, 2017 (est.)",late March,~1 week,"As Jay finds his footing again, Ian quietly completes a three-month investigation into Orrey Capital Partners — Cruver's employer — and finalizes a memo recommending termination, to reach Turner Senior on Monday.","Ian, Jay, Turner Senior",,"The chapter calls the gala ""three months ago""; from a January gala it is closer to two — see flags.",,,,,,,,,,,,
Book 1,13,Ides of March,Scene 5,Orrey Fallout,"Monday, March 27, 2017",Monday–Friday,~1 week,"Word spreads that Turner & Associates has terminated Orrey amid a federal investigation; Ian confirms it at a Tuesday team meeting, and by Friday it is national news. Jay feels vindictive relief that he'll never face Cruver again.","Ian, Jay",Orrey Capital Partners terminated (Cruver's employer under investigation),,,,,,,,,,,,,
Book 1,14,Spring,Scene 1,Quaterly reports,"Monday, April 3, 2017",Monday → following Tuesday,~1.5 weeks,"April's first quarter-end brings a brutal reporting crunch — seven-day weeks, midnight finishes, a full Saturday in the office — that finally teaches Jay why the bonuses are so large. Ian submits the final file Tuesday at 6 p.m.","Ian, Jay","Q1 quarterly reports submitted (Tuesday, April 11); quarterly bonus",,,,,,,,,,,,,
Book 1,14,Spring,Scene 2,Retreat arrangement,"Wednesday, April 12, 2017 (est.)",mid-April,1 day,"As HR pushes ""mentor"" rooming for the May retreat, Leo engineers it so Ian and Jay will share a room. Ian protests furiously in private but, manipulated by his own protective instincts, gives in.","Ian, Jay, Leo",Retreat rooming — Ian and Jay paired (Leo's scheme),,,,,,,,,,,,,
Book 1,14,Spring,Scene 3,Spring has sprung,mid-to-late April 2017 (est.),mid-to-late April,several days,"Jay stashes a spare suit at the office, joins a modest neighborhood gym, and starts training with Rus. His mother calls to ask him home for Ema's middle-school graduation at the end of June.","Jay, Ema",,Ema's end-of-June graduation is set up here for a later payoff.,,,,,,,,,,,,
Book 1,14,Spring,Scene 4,Confidence,"Friday, April 7, 2017 (est.)",Friday (evening),1 day,"At the spring quarterly party Jay is entirely at ease — eating well, joking with the team, neither snubbed nor singled out by Ian. Watching from across the room, Ian feels ashamed of the coldness he showed at Jay's first such party.","Ian, Jay",,Placement is tight against the Q1 crunch and pre-Easter cold snap — see flags.,,,,,,,,,,,,
Book 1,14,Spring,Scene 5,Coffee gesture,"Monday, April 10, 2017 (est.)",Monday,1 day,"A sudden cold snap sours the team's mood, so Jay uses the company card to bring everyone seasonal coffees — and, on impulse, orders Ian a sweet maple-bourbon latte unlike his usual black. Ian drinks the whole thing, touched by the unguarded thoughtfulness.","Ian, Jay",,,,,,,,,,,,,,
Book 1,15,Inferiority,Scene 1,Industry reading,"Monday, April 10, 2017 (est.)",Monday–Thursday,~4 days,"The cold snap drags on as the four-day Easter weekend approaches and the team trades holiday plans. Jay's intention to spend it on ""industry reading"" provokes affectionate horror from his colleagues.",Jay,,,,,,,,,,,,,,
Book 1,15,Inferiority,Scene 2,Easter,"Friday, April 14, 2017",Friday–Monday,4 days,"Jay spends the Easter long weekend alone, working through advanced economics texts to quiet his anxiety about his modest credentials, pausing only for a grandmother-style holiday breakfast and his mother's call. He finishes one book and starts a harder one.",Jay,Easter weekend (Jay studies alone),,,,,,,,,,,,,
Book 1,15,Inferiority,Scene 3,Return to normalcy,"Tuesday, April 18, 2017",Tuesday,1 day,"The office returns refreshed to a sustainable pace; colleagues swap Easter stories and tease Jay for studying. He stays late again, unwilling to leave Ian working alone.","Ian, Jay",,,,,,,,,,,,,,
Book 1,15,Inferiority,Scene 4,Comfortable warmth,late April 2017 (est.),late April,~1 week,"Spring settles in: Jay leads the team to Willow & Sage, sits in the park with strange ice cream, keeps up his Tuesday gym sessions with Rus, and reads management books to understand Ian's leadership. He feels a contentment he has never known.","Ian, Jay",,,,,,,,,,,,,,
Book 1,15,Inferiority,Scene 5,Intrusion,"Tuesday, April 25, 2017 (est.)",Tuesday (evening),same evening,"After Jay leaves for the gym, Ian lingers at his desk and finds his annotated economics textbook; an hour of reading Jay's humble, curious margin notes — one puzzling over Ian's own foresight — makes Ian finally admit his feelings have outgrown his control.","Ian, Jay",Ian reads Jay's margin notes — his attachment crystallizes (end of Arc 3),,,,,,,,,,,,,
Book 1,16,Preparations,Scene 1,Client meeting,"Wednesday, May 3, 2017 (est.)",early May,2 days,"Ian brings Jay along to a ""relationship maintenance"" visit with the Calder Wetherby Trust, driving through the city's old-money district that leaves Jay wide-eyed. The meeting is more whiskey and social ritual than business.","Ian, Jay",Calder Wetherby Trust client visit,,,,,,,,,,,,,
Book 1,16,Preparations,Scene 2,Tingling,"Thursday, May 4, 2017 (est.)",Thursday,same day,"Over an expensive lunch Ian opens up about his privileged upbringing, creating unexpected intimacy. In the traffic-slowed drive back, Jay is acutely, uneasily aware of Ian's cologne and nearness.","Ian, Jay",,,,,,,,,,,,,,
Book 1,16,Preparations,Scene 3,Disgusting beer,"Friday, May 5, 2017 (est.)",Friday,1 day,Jay stuns the team by finally saying yes to Friday drinks; over a terrible craft beer he learns how much elaborate preparation the retreat — now two weeks off — will demand.,Jay,,,,,,,,,,,,,,
Book 1,16,Preparations,Scene 4,Shopping spree,"Saturday, May 6, 2017 (est.)",Saturday,1 day,"An exhausting fashion-district expedition for resort wear, swimwear, and a new suitcase costs Jay roughly two months of his old salary.",Jay,,,,,,,,,,,,,,
Book 1,16,Preparations,Scene 5,Growing uncertainty,"Monday, May 8, 2017 (est.)",mid-May,~1 week,"Realizing the sunset dinner is far dressier than he prepared for, Jay reluctantly returns to Hathaway's on Friday for an understated but expensive evening outfit.",Jay,,,,,,,,,,,,,,
Book 1,17,Retreat,Scene 1,Arrival,"Friday, May 19, 2017 (est.)",Friday (Day 1),1 day,"The team buses to a beachfront resort, where Jay is assigned to share Seaview Suite 14 with Ian. At the afternoon art exhibition Ian buys the one abstract piece Jay genuinely liked.","Ian, Jay",Company retreat begins,,,,,,,,,,,,,
Book 1,17,Retreat,Scene 2,The sunset dinner,"Friday, May 19, 2017 (night)",Friday,same night,"At the glamorous sunset dinner Jay gets properly drunk for the first time, oblivious to a colleague's persistent flirting. Rattled by the sight of him, Ian escorts him to their room and flees.","Ian, Jay",,,,,,,,,,,,,,
